rule_name,religion,trait_name,accepted_values,rejected_values,custom,text,fate,day of implementation,end day,priority
no_laugh,star_religion,laugh,no_laugh,,,All those who don't try to laugh or giggle go to hell.,hell,1,-,5
jokes_cruel,star_religion,jokes,jokes_cruel,,,All those who only share mean and cruel jokes go to hell.,hell,1,-,5
jokes_generous,star_religion,jokes,jokes_generous,,,Only those who share generous jokes go to paradise.,paradise,1,-,1
jokes_mixed,star_religion,jokes,jokes_mixed,,,All those who share generous and mean jokes go to purgatory.,purgatory,4,-,1
serious_always,star_religion,seriousness,serious_always,,,All those who are serious all the time go to hell.,hell,3,-,5
serious_one,star_religion,seriousness,serious_one,,,Only those who are serious only once a week go to paradise.,paradise,2,-,1
no_serious,star_religion,seriousness,no_serious,,,"All those who are not serious at all, even once a week go to purgatory.",purgatory,3,-,1
cry,star_religion,crying,cry,,,Only those who aren't afraid to cry go to paradise.,paradise,1,-,1
no_cry,star_religion,crying,no_cry,,,All those who aren't crying at all go to purgatory.,purgatory,1,-,1
cry_hold_back,star_religion,crying,cry_hold_back,,,All those who try to hold back crying go to hell.,hell,4,-,5
wish,star_religion,wish,wish,,,"All those who see a star and make a wish, without laughing after it, go to purgatory.",purgatory,2,-,1
wish_laugh,star_religion,wish,wish_laugh,,,"Only those who see a star, make a wish and laugh after it go to paradise.",paradise,1,-,1
no_wish,star_religion,wish,no_wish,,,"All those who see a star and don't make a wish at all, go to hell.",hell,1,-,5
sect_default,sect_religion,,,,,All are elegible to go to pugatory,purgatory,1,-,0
light_lamp_twice,sect_religion,light,light_lamp_twice,,,Only those who light a candle or a lamp at dawn and dusk everyday go to paradise.,paradise,1,-,1
light_lamp_once,sect_religion,light,light_lamp_once,,,All those who light a candle or a lamp at dawn or at dusk everyday go to purgatory.,purgatory,4,-,1
no_light_lamp,sect_religion,light,no_light_lamp,,,All those who don't light the lamp or a candle everyday go to hell.,hell,1,-,5
lie_darkness,sect_religion,darkness,lie_darkness,,,All those who lie in darkness go to hell.,hell,2,-,5
lie_with_light,sect_religion,darkness,lie_with_light,,,Only those who lie with some type of light go to paradise.,paradise,5,-,1
share_light,sect_religion,sharing_light,share_light,,,Only those who help others see light when they're lost are reincarnated.,reincarnation,6,-,1
no_share_light,sect_religion,sharing_light,no_share_light,,,All those who don't help others see the light when they're lost go to purgatory.,purgatory,6,-,1
release_doubts_new_moon,sect_religion,release,release_doubts_new_moon,,,Only those who release their doubts on new moon go to paradise.,paradise,1,-,1
release_doubts_other,sect_religion,release,release_doubts_other,,,All those who release their doubts on other phases of the moon go to purgatory.,purgatory,4,-,1
no_release,sect_religion,release,no_release,,,All those who don't release their doubts at all at any moon phases go to hell.,hell,1,-,5
blow_flame_breath,sect_religion,blowing_out,blow_flame_breath,,,All those who blow out the flame with thier breath go to hell.,hell,1,-,5
blow_flame_snuff,sect_religion,blowing_out,blow_flame_snuff,,,Only those who blow out the flame with a gentle snuff go to paradise.,paradise,1,-,1
blow_flame_naturally,sect_religion,blowing_out,blow_flame_naturally,,,All those who let the flame being blown out naturally by air are brought back to life.,back to life,6,-,1
